,type,typicality_score,dir,top5_labels,label,7_score
38,Mug,19.5,Image/All_Cropped\Mug\15.jpg,"{'espresso maker': 0.19465667009353638, 'coffee mug': 0.16768279671669006, 'pitcher': 0.14524362981319427, 'measuring cup': 0.1070636734366417, 'cup': 0.07716745138168335}",espresso maker,1.4
39,Mug,45.6,Image/All_Cropped\Mug\16.jpg,"{'coffee mug': 0.4557145833969116, 'whiskey jug': 0.19988998770713806, 'measuring cup': 0.11392419040203094, 'cup': 0.0567941851913929, 'coffeepot': 0.04855404794216156}",coffee mug,3.2
40,Mug,33.7,Image/All_Cropped\Mug\2.jpeg,"{'coffee mug': 0.3367800712585449, 'pitcher': 0.2386070191860199, 'water jug': 0.1547657698392868, 'beaker': 0.08588828891515732, 'cup': 0.07339587062597275}",coffee mug,2.4
41,Mug,30.5,Image/All_Cropped\Mug\3.jpg,"{'mixing bowl': 0.305052787065506, 'Dutch oven': 0.07789131253957748, 'consomme': 0.07612287998199463, 'caldron': 0.06622045487165451, 'bucket': 0.05756324157118797}",mixing bowl,2.1
42,Mug,14.6,Image/All_Cropped\Mug\4.jpg,"{'water jug': 0.1460244357585907, 'pitcher': 0.13768619298934937, 'pedestal': 0.10434114187955856, 'mortar': 0.07228457927703857, 'vase': 0.059188112616539}",water jug,1.0
43,Mug,31.6,Image/All_Cropped\Mug\5.jpg,"{'cup': 0.31643038988113403, 'eggnog': 0.17200495302677155, 'espresso': 0.07246904820203781, 'coffee mug': 0.07088887691497803, 'water jug': 0.05286584794521332}",cup,2.2
44,Mug,19.1,Image/All_Cropped\Mug\6.jpg,"{'measuring cup': 0.19065874814987183, 'whiskey jug': 0.18084342777729034, 'beaker': 0.15524634718894958, 'coffee mug': 0.12273374199867249, 'water jug': 0.07429376244544983}",measuring cup,1.3
45,Mug,84.9,Image/All_Cropped\Mug\7.jpg,"{'whiskey jug': 0.8491790294647217, 'coffee mug': 0.05159594118595123, 'eggnog': 0.04496828466653824, 'espresso': 0.03645826876163483, 'cup': 0.006697242613881826}",whiskey jug,5.9
46,Mug,52.6,Image/All_Cropped\Mug\8.jpg,"{'coffee mug': 0.5256219506263733, 'cup': 0.34673503041267395, 'pitcher': 0.05141816660761833, 'water jug': 0.02281397394835949, 'whiskey jug': 0.020328745245933533}",coffee mug,3.7
47,Mug,21.3,Image/All_Cropped\Mug\9.jpeg,"{'toilet seat': 0.21278275549411774, 'washbasin': 0.19742216169834137, 'cup': 0.09076496958732605, 'mortar': 0.07541239261627197, 'bathtub': 0.04129165783524513}",toilet seat,1.5
48,Banana,79.7,Image/All_Cropped\Banana\1.jpg,"{'banana': 0.7968792915344238, 'zucchini': 0.04258118197321892, 'ear': 0.029361646622419357, 'coil': 0.021457012742757797, 'acorn squash': 0.020348984748125076}",banana,5.6
49,Banana,63.6,Image/All_Cropped\Banana\10.jpg,"{'banana': 0.6355705857276917, 'cucumber': 0.07737873494625092, 'Granny Smith': 0.0477633997797966, 'fig': 0.036082565784454346, 'zucchini': 0.028202585875988007}",banana,4.5
50,Banana,13.4,Image/All_Cropped\Banana\11.jpg,"{'ocarina': 0.1339159607887268, 'vase': 0.09673992544412613, 'plunger': 0.06966138631105423, 'fig': 0.043771568685770035, 'maraca': 0.041718196123838425}",ocarina,0.9
51,Banana,18.0,Image/All_Cropped\Banana\12.jpg,"{'cleaver': 0.1798466295003891, 'spatula': 0.09127666801214218, 'plane': 0.08963686972856522, 'whistle': 0.07423535734415054, 'clog': 0.04522218927741051}",cleaver,1.3
52,Banana,48.6,Image/All_Cropped\Banana\13.jpg,"{'banana': 0.4855526089668274, 'paddle': 0.053515564650297165, 'maraca': 0.03940550237894058, 'hook': 0.016711974516510963, 'spaghetti squash': 0.01459212601184845}",banana,3.4
53,Banana,59.4,Image/All_Cropped\Banana\14.jpg,"{'toilet seat': 0.5935826301574707, 'banana': 0.12797154486179352, 'mortar': 0.0875348225235939, 'scale': 0.029854310676455498, 'consomme': 0.011059176176786423}",toilet seat,4.2
54,Banana,69.1,Image/All_Cropped\Banana\15.jpg,"{'hook': 0.6912592053413391, 'nematode': 0.04090149700641632, 'ladle': 0.020171089097857475, 'slug': 0.013048877008259296, 'ocarina': 0.012315883301198483}",hook,4.8
55,Banana,29.3,Image/All_Cropped\Banana\16.jpg,"{'nipple': 0.292970210313797, 'banana': 0.16198311746120453, 'whistle': 0.06551440805196762, 'nematode': 0.050589725375175476, 'spotlight': 0.03836524486541748}",nipple,2.1
56,Banana,27.6,Image/All_Cropped\Banana\2.jpg,"{'flatworm': 0.27627280354499817, 'hook': 0.2217390090227127, 'nematode': 0.06642983853816986, 'coil': 0.047652944922447205, 'chain': 0.04485870525240898}",flatworm,1.9
